"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num District total","num District rptg","over votes","under votes"
28,"Bloomfield - For Member of the Township Council At-Large (Unexpired Term) (DEM) (Vote For 1)","Rodney P. CAUTHEN","DEM",1480,30.74,0,6072,35,35,"2","412"
29,"Caldwell - For Members of the Borough Council (DEM) (Vote For 2)","Evelyn SEIJIDO LOESSER","DEM",479,54.93,0,907,7,7,"0","217"
30,"Caldwell - For Members of the Borough Council (DEM) (Vote For 2)","Stephen ZISK","DEM",393,45.07,0,907,7,7,"0","217"
31,"Livingston - For Members of the Township Council (DEM) (Vote For 2)","Alfred M. ANTHONY","DEM",1964,52.36,0,2984,26,26,"0","1012"
32,"Livingston - For Members of the Township Council (DEM) (Vote For 2)","Michael M. VIEIRA","DEM",1787,47.64,0,2984,26,26,"0","1012"
33,"Livingston - For Member of the Township Council - Unexpired Two Year Term (DEM) (Vote For 1)","Ketan K. BHUPTANI","DEM",1975,100.00,0,2984,26,26,"1","400"
34,"Maplewood - For Members of the Township Committee (DEM) (Vote For 2)","Nancy J. ADAMS","DEM",2920,36.67,0,5101,21,21,"10","1827"
35,"Maplewood - For Members of the Township Committee (DEM) (Vote For 2)","Jamaine L. CRIPE","DEM",2239,28.12,0,5101,21,21,"10","1827"
36,"Maplewood - For Members of the Township Committee (DEM) (Vote For 2)","Malia HERMAN","DEM",2804,35.21,0,5101,21,21,"10","1827"
37,"Millburn - For Member of the Township Committee (DEM) (Vote For 1)","David R. COSGROVE","DEM",1170,100.00,0,1756,16,16,"0","212"
38,"North Caldwell - For Members of the Borough Council (DEM) (Vote For 2)","Johanna STROEVER","DEM",399,100.00,0,814,5,5,"0","545"
39,"Roseland - For Members of the Borough Council (DEM) (Vote For 2)","Eileen FISHMAN","DEM",381,55.46,0,901,6,6,"0","193"
40,"Roseland - For Members of the Borough Council (DEM) (Vote For 2)","Neal GOLDSTEIN","DEM",306,44.54,0,901,6,6,"0","193"
41,"For Members of the County Committee - Belleville 1-1 (DEM) (Vote For 2)","Peter CAGGIANO","DEM",29,46.77,0,73,1,1,"0","48"
42,"For Members of the County Committee - Belleville 1-1 (DEM) (Vote For 2)","Thomas SERRANO, Jr.","DEM",33,53.23,0,73,1,1,"0","48"
43,"For Members of the County Committee - Belleville 1-2 (DEM) (Vote For 2)","Lawrence GUIONS","DEM",31,63.27,0,58,1,1,"0","25"
44,"For Members of the County Committee - Belleville 1-2 (DEM) (Vote For 2)","John BUGLIONE","DEM",18,36.73,0,58,1,1,"0","25"
45,"For Members of the County Committee - Belleville 1-3 (DEM) (Vote For 2)","Debra DePAUL","DEM",46,58.23,0,81,1,1,"0","44"
46,"For Members of the County Committee - Belleville 1-3 (DEM) (Vote For 2)","Angela AMOROSI","DEM",33,41.77,0,81,1,1,"0","44"
47,"For Members of the County Committee - Belleville 1-4 (DEM) (Vote For 2)","Ralph SALZANO","DEM",21,48.84,0,43,1,1,"0","11"
48,"For Members of the County Committee - Belleville 1-4 (DEM) (Vote For 2)","Susan WHELAN","DEM",22,51.16,0,43,1,1,"0","11"
49,"For Members of the County Committee - Belleville 1-6 (DEM) (Vote For 2)","Barbara CAPALBO","DEM",55,64.71,0,96,1,1,"0","47"
50,"For Members of the County Committee - Belleville 1-6 (DEM) (Vote For 2)","Elsa MERCHAN","DEM",30,35.29,0,96,1,1,"0","47"
51,"For Members of the County Committee - Belleville 2-1 (DEM) (Vote For 2)","Mario DROZDZ","DEM",29,50.00,0,57,1,1,"0","22"
52,"For Members of the County Committee - Belleville 2-1 (DEM) (Vote For 2)","Laura BINI","DEM",29,50.00,0,57,1,1,"0","22"
53,"For Members of the County Committee - Belleville 2-3 (DEM) (Vote For 2)","Donald KRASZEWSKI","DEM",23,44.23,0,71,1,1,"0","34"
54,"For Members of the County Committee - Belleville 2-3 (DEM) (Vote For 2)","Donna COMPLITANO","DEM",29,55.77,0,71,1,1,"0","34"
55,"For Members of the County Committee - Belleville 2-5 (DEM) (Vote For 2)","Frank VELEZ, III","DEM",43,61.43,0,75,1,1,"0","30"
56,"For Members of the County Committee - Belleville 2-5 (DEM) (Vote For 2)","Barbara LOZAW","DEM",27,38.57,0,75,1,1,"0","30"
57,"For Members of the County Committee - Belleville 2-6 (DEM) (Vote For 2)","Salvatore CARNOVALE","DEM",19,57.58,0,57,1,1,"0","15"
58,"For Members of the County Committee - Belleville 2-6 (DEM) (Vote For 2)","Margo DellaVOLPE","DEM",14,42.42,0,57,1,1,"0","15"
59,"For Members of the County Committee - Belleville 2-7 (DEM) (Vote For 2)","Debra MARVEL","DEM",30,58.82,0,74,1,1,"0","35"
60,"For Members of the County Committee - Belleville 2-7 (DEM) (Vote For 2)","Reyna SALVATORE","DEM",21,41.18,0,74,1,1,"0","35"
61,"For Members of the County Committee - Belleville 2-8 (DEM) (Vote For 2)","Gary HINTON","DEM",66,51.56,0,123,1,1,"0","40"
62,"For Members of the County Committee - Belleville 2-8 (DEM) (Vote For 2)","Linda HINTON","DEM",62,48.44,0,123,1,1,"0","40"
63,"For Members of the County Committee - Belleville 3-1 (DEM) (Vote For 2)","John SINICO","DEM",23,60.53,0,58,1,1,"0","36"
64,"For Members of the County Committee - Belleville 3-1 (DEM) (Vote For 2)","Phyllis WASHINGTON","DEM",15,39.47,0,58,1,1,"0","36"
65,"For Members of the County Committee - Belleville 3-2 (DEM) (Vote For 2)","Eugene DANCHAK","DEM",28,57.14,0,59,1,1,"0","32"
66,"For Members of the County Committee - Belleville 3-2 (DEM) (Vote For 2)","Arlene DANCHAK","DEM",21,42.86,0,59,1,1,"0","32"
67,"For Members of the County Committee - Belleville 3-3 (DEM) (Vote For 2)","Aura GUERRA","DEM",33,61.11,0,65,1,1,"0","39"
68,"For Members of the County Committee - Belleville 3-3 (DEM) (Vote For 2)","Andrew TURNER","DEM",21,38.89,0,65,1,1,"0","39"
69,"For Members of the County Committee - Belleville 3-4 (DEM) (Vote For 2)","Clark SCHOR","DEM",24,52.17,0,52,1,1,"0","25"
70,"For Members of the County Committee - Belleville 3-4 (DEM) (Vote For 2)","Arlene SCHOR","DEM",22,47.83,0,52,1,1,"0","25"
71,"For Members of the County Committee - Belleville 3-6 (DEM) (Vote For 2)","Salvatore SORCE","DEM",27,55.10,0,67,1,1,"0","33"
72,"For Members of the County Committee - Belleville 3-6 (DEM) (Vote For 2)","Tamara SORCE","DEM",22,44.90,0,67,1,1,"0","33"
73,"For Members of the County Committee - Belleville 4-1 (DEM) (Vote For 2)","Moises RODRIGUEZ, II","DEM",13,48.15,0,32,1,1,"0","13"
74,"For Members of the County Committee - Belleville 4-1 (DEM) (Vote For 2)","Gloria RODRIGUEZ","DEM",14,51.85,0,32,1,1,"0","13"
75,"For Members of the County Committee - Belleville 4-3 (DEM) (Vote For 2)","Gina MISSAGGIA","DEM",23,100.00,0,59,1,1,"0","35"
76,"For Members of the County Committee - Belleville 4-4 (DEM) (Vote For 2)","Barbara Russo SALCINES","DEM",41,100.00,0,84,1,1,"0","71"
77,"For Members of the County Committee - Belleville 4-5 (DEM) (Vote For 2)","Joseph GUARDABASCO","DEM",25,48.08,0,61,1,1,"0","17"
78,"For Members of the County Committee - Belleville 4-5 (DEM) (Vote For 2)","Diana Sorice GUARDABASCO","DEM",27,51.92,0,61,1,1,"0","17"
79,"For Members of the County Committee - Belleville 4-6 (DEM) (Vote For 2)","John LOPREIATO","DEM",34,49.28,0,103,1,1,"0","33"
80,"For Members of the County Committee - Belleville 4-6 (DEM) (Vote For 2)","Laura DIGORI","DEM",35,50.72,0,103,1,1,"0","33"
81,"For Members of the County Committee - Bloomfield 1-2 (DEM) (Vote For 2)","Keshia M. SESSOMS","DEM",86,24.29,0,279,1,1,"0","86"
82,"For Members of the County Committee - Bloomfield 1-2 (DEM) (Vote For 2)","Kathleen DeMARINO","DEM",130,36.72,0,279,1,1,"0","86"
83,"For Members of the County Committee - Bloomfield 1-2 (DEM) (Vote For 2)","Robert DeMARINO","DEM",91,25.71,0,279,1,1,"0","86"
84,"For Members of the County Committee - Bloomfield 1-2 (DEM) (Vote For 2)","Dorian K. SESSOMS","DEM",47,13.28,0,279,1,1,"0","86"
85,"For Members of the County Committee - Bloomfield 1-3 (DEM) (Vote For 2)","Alyssa D'ANTONIO","DEM",101,33.22,0,220,1,1,"0","116"
86,"For Members of the County Committee - Bloomfield 1-3 (DEM) (Vote For 2)","Ann HARDY","DEM",88,28.95,0,220,1,1,"0","116"
87,"For Members of the County Committee - Bloomfield 1-3 (DEM) (Vote For 2)","Carlos M. POMARES","DEM",64,21.05,0,220,1,1,"0","116"
88,"For Members of the County Committee - Bloomfield 1-3 (DEM) (Vote For 2)","Andrzej MATUSIK","DEM",51,16.78,0,220,1,1,"0","116"
89,"For Members of the County Committee - Bloomfield 1-4 (DEM) (Vote For 2)","Nicolle WALKER","DEM",95,49.74,0,163,1,1,"0","109"
90,"For Members of the County Committee - Bloomfield 1-4 (DEM) (Vote For 2)","Jenny MUNDELL","DEM",96,50.26,0,163,1,1,"0","109"
91,"For Members of the County Committee - Bloomfield 1-5 (DEM) (Vote For 2)","Reinaldo ARVELO","DEM",71,49.65,0,135,1,1,"0","95"
92,"For Members of the County Committee - Bloomfield 1-5 (DEM) (Vote For 2)","Angie VELA","DEM",72,50.35,0,135,1,1,"0","95"
93,"For Members of the County Committee - Bloomfield 1-6 (DEM) (Vote For 2)","Cindy M. BRAVO-ESPINOZA","DEM",82,62.12,0,127,1,1,"0","82"
94,"For Members of the County Committee - Bloomfield 1-6 (DEM) (Vote For 2)","William GAONA","DEM",50,37.88,0,127,1,1,"0","82"
95,"For Members of the County Committee - Bloomfield 1-7 (DEM) (Vote For 2)","Pina GENCARELLI-PAGLIUCA","DEM",88,40.00,0,150,1,1,"0","50"
96,"For Members of the County Committee - Bloomfield 1-7 (DEM) (Vote For 2)","Henry PAGLIUCA","DEM",65,29.55,0,150,1,1,"0","50"
97,"For Members of the County Committee - Bloomfield 1-7 (DEM) (Vote For 2)","Hubert ESPIRITU","DEM",32,14.55,0,150,1,1,"0","50"
98,"For Members of the County Committee - Bloomfield 1-7 (DEM) (Vote For 2)","Joshua A. NIEVE-SILVA","DEM",35,15.91,0,150,1,1,"0","50"
99,"For Members of the County Committee - Bloomfield 1-8 (DEM) (Vote For 2)","Kevin HOO","DEM",51,34.00,0,125,1,1,"0","46"
100,"For Members of the County Committee - Bloomfield 1-8 (DEM) (Vote For 2)","Heriberto GONZALEZ","DEM",42,28.00,0,125,1,1,"0","46"
101,"For Members of the County Committee - Bloomfield 1-8 (DEM) (Vote For 2)","Katherine L. ALSHESKIE","DEM",32,21.33,0,125,1,1,"0","46"
102,"For Members of the County Committee - Bloomfield 1-8 (DEM) (Vote For 2)","Andrew J. ALSHESKIE","DEM",25,16.67,0,125,1,1,"0","46"
103,"For Members of the County Committee - Bloomfield 1-9 (DEM) (Vote For 2)","Joan HUSSEY","DEM",76,37.62,0,172,1,1,"0","100"
104,"For Members of the County Committee - Bloomfield 1-9 (DEM) (Vote For 2)","Matthew KENNEY","DEM",65,32.18,0,172,1,1,"0","100"
105,"For Members of the County Committee - Bloomfield 1-9 (DEM) (Vote For 2)","Diana MORA","DEM",61,30.20,0,172,1,1,"0","100"
106,"For Members of the County Committee - Bloomfield 1-10 (DEM) (Vote For 2)","Emily M. SMITH","DEM",37,26.81,0,102,1,1,"0","26"
107,"For Members of the County Committee - Bloomfield 1-10 (DEM) (Vote For 2)","Robert James BEESE, Jr.","DEM",38,27.54,0,102,1,1,"0","26"
108,"For Members of the County Committee - Bloomfield 1-10 (DEM) (Vote For 2)","Jackie SPITERI","DEM",23,16.67,0,102,1,1,"0","26"
109,"For Members of the County Committee - Bloomfield 1-10 (DEM) (Vote For 2)","Thomas HEANEY","DEM",40,28.99,0,102,1,1,"0","26"
110,"For Members of the County Committee - Bloomfield 1-11 (DEM) (Vote For 2)","Natalie LUPIANI","DEM",154,62.86,0,245,1,1,"0","162"
111,"For Members of the County Committee - Bloomfield 1-11 (DEM) (Vote For 2)","Brian McDADE","DEM",91,37.14,0,245,1,1,"0","162"
112,"For Members of the County Committee - Bloomfield 1-12 (DEM) (Vote For 2)","Daniel F. DeLORENZI","DEM",50,37.88,0,132,1,1,"0","86"
113,"For Members of the County Committee - Bloomfield 1-12 (DEM) (Vote For 2)","Jessica A. AVILES","DEM",58,43.94,0,132,1,1,"0","86"
114,"For Members of the County Committee - Bloomfield 1-12 (DEM) (Vote For 2)","John DEY","DEM",24,18.18,0,132,1,1,"0","86"
115,"For Members of the County Committee - Bloomfield 2-1 (DEM) (Vote For 2)","Wartyna DAVIS","DEM",92,21.00,0,292,1,1,"0","85"
116,"For Members of the County Committee - Bloomfield 2-1 (DEM) (Vote For 2)","Andrew LoMONTE","DEM",144,32.88,0,292,1,1,"0","85"
117,"For Members of the County Committee - Bloomfield 2-1 (DEM) (Vote For 2)","Barbara A. St. HILAIRE","DEM",68,15.53,0,292,1,1,"0","85"
118,"For Members of the County Committee - Bloomfield 2-1 (DEM) (Vote For 2)","Dana P. BARRON","DEM",134,30.59,0,292,1,1,"0","85"
119,"For Members of the County Committee - Bloomfield 2-2 (DEM) (Vote For 2)","Ellen BATES","DEM",95,32.09,0,204,1,1,"0","69"
120,"For Members of the County Committee - Bloomfield 2-2 (DEM) (Vote For 2)","Alexis KERN","DEM",69,23.31,0,204,1,1,"0","69"
121,"For Members of the County Committee - Bloomfield 2-2 (DEM) (Vote For 2)","Richard LUONGO","DEM",69,23.31,0,204,1,1,"0","69"
122,"For Members of the County Committee - Bloomfield 2-2 (DEM) (Vote For 2)","Hope KORNSTEIN","DEM",63,21.28,0,204,1,1,"0","69"
123,"For Members of the County Committee - Bloomfield 2-3 (DEM) (Vote For 2)","Mario MANZANO","DEM",49,19.92,0,202,1,1,"0","40"
124,"For Members of the County Committee - Bloomfield 2-3 (DEM) (Vote For 2)","Joshua TROJAK","DEM",33,13.41,0,202,1,1,"0","40"
125,"For Members of the County Committee - Bloomfield 2-3 (DEM) (Vote For 2)","Cynthia MARTINEZ","DEM",97,39.43,0,202,1,1,"0","40"
126,"For Members of the County Committee - Bloomfield 2-3 (DEM) (Vote For 2)","Claudio CARCHIA","DEM",67,27.24,0,202,1,1,"0","40"
127,"For Members of the County Committee - Bloomfield 2-4 (DEM) (Vote For 2)","Christopher SCHWINDT","DEM",102,37.92,0,188,1,1,"0","49"
128,"For Members of the County Committee - Bloomfield 2-4 (DEM) (Vote For 2)","Monette MATTHEW","DEM",32,11.90,0,188,1,1,"0","49"
129,"For Members of the County Committee - Bloomfield 2-4 (DEM) (Vote For 2)","William SHANDLEY","DEM",83,30.86,0,188,1,1,"0","49"
130,"For Members of the County Committee - Bloomfield 2-4 (DEM) (Vote For 2)","Paul BONICA","DEM",10,3.72,0,188,1,1,"0","49"
131,"For Members of the County Committee - Bloomfield 2-4 (DEM) (Vote For 2)","Michael HUTCHINSON","DEM",22,8.18,0,188,1,1,"0","49"
132,"For Members of the County Committee - Bloomfield 2-4 (DEM) (Vote For 2)","Marilyn BONICA","DEM",20,7.43,0,188,1,1,"0","49"
133,"For Members of the County Committee - Bloomfield 2-5 (DEM) (Vote For 2)","Michael VENEZIA","DEM",144,35.38,0,264,1,1,"0","57"
134,"For Members of the County Committee - Bloomfield 2-5 (DEM) (Vote For 2)","Anthony J. SCUTTARO","DEM",88,21.62,0,264,1,1,"0","57"
135,"For Members of the County Committee - Bloomfield 2-5 (DEM) (Vote For 2)","Laura VENEZIA","DEM",102,25.06,0,264,1,1,"0","57"
136,"For Members of the County Committee - Bloomfield 2-5 (DEM) (Vote For 2)","Norman C. NICOLAI","DEM",73,17.94,0,264,1,1,"0","57"
137,"For Members of the County Committee - Bloomfield 2-6 (DEM) (Vote For 2)","Beverly J. GOSS","DEM",89,22.94,0,275,1,1,"2","100"
138,"For Members of the County Committee - Bloomfield 2-6 (DEM) (Vote For 2)","Dana N. MOORE","DEM",70,18.04,0,275,1,1,"2","100"
139,"For Members of the County Committee - Bloomfield 2-6 (DEM) (Vote For 2)","Nicole WILLIAMS","DEM",150,38.66,0,275,1,1,"2","100"
140,"For Members of the County Committee - Bloomfield 2-6 (DEM) (Vote For 2)","Denise VIECELI","DEM",79,20.36,0,275,1,1,"2","100"
141,"For Members of the County Committee - Bloomfield 2-7 (DEM) (Vote For 2)","Nicholas JOANOW","DEM",110,37.93,0,203,1,1,"0","52"
142,"For Members of the County Committee - Bloomfield 2-7 (DEM) (Vote For 2)","Jill FISCHMAN","DEM",89,30.69,0,203,1,1,"0","52"
143,"For Members of the County Committee - Bloomfield 2-7 (DEM) (Vote For 2)","Joey-lyn ADDESA","DEM",41,14.14,0,203,1,1,"0","52"
144,"For Members of the County Committee - Bloomfield 2-7 (DEM) (Vote For 2)","Gregory BABULA","DEM",50,17.24,0,203,1,1,"0","52"
145,"For Members of the County Committee - Bloomfield 2-8 (DEM) (Vote For 2)","Catherine FARNHAM","DEM",77,31.69,0,195,1,1,"0","51"
146,"For Members of the County Committee - Bloomfield 2-8 (DEM) (Vote For 2)","Michael VOLPE","DEM",58,23.87,0,195,1,1,"0","51"
147,"For Members of the County Committee - Bloomfield 2-8 (DEM) (Vote For 2)","John S. FAZIO","DEM",57,23.46,0,195,1,1,"0","51"
148,"For Members of the County Committee - Bloomfield 2-8 (DEM) (Vote For 2)","Peter TOM","DEM",51,20.99,0,195,1,1,"0","51"
149,"For Members of the County Committee - Bloomfield 2-9 (DEM) (Vote For 2)","Raymond J. McCARTHY","DEM",195,58.91,0,311,1,1,"0","157"
150,"For Members of the County Committee - Bloomfield 2-9 (DEM) (Vote For 2)","Joseph FINKLER","DEM",136,41.09,0,311,1,1,"0","157"
151,"For Members of the County Committee - Bloomfield 2-10 (DEM) (Vote For 2)","Maryann MEHEGAN","DEM",64,25.10,0,197,1,1,"0","69"
152,"For Members of the County Committee - Bloomfield 2-10 (DEM) (Vote For 2)","Joanne MAIORCA","DEM",58,22.75,0,197,1,1,"0","69"
153,"For Members of the County Committee - Bloomfield 2-10 (DEM) (Vote For 2)","Jason MARTINEZ","DEM",68,26.67,0,197,1,1,"0","69"
154,"For Members of the County Committee - Bloomfield 2-10 (DEM) (Vote For 2)","Carmen MARTINEZ","DEM",65,25.49,0,197,1,1,"0","69"
155,"For Members of the County Committee - Bloomfield 2-11 (DEM) (Vote For 2)","Michael G. GIUSEFFI","DEM",75,27.27,0,209,1,1,"0","73"
156,"For Members of the County Committee - Bloomfield 2-11 (DEM) (Vote For 2)","Alexander WOLFE","DEM",98,35.64,0,209,1,1,"0","73"
157,"For Members of the County Committee - Bloomfield 2-11 (DEM) (Vote For 2)","John BETTERS","DEM",28,10.18,0,209,1,1,"0","73"
158,"For Members of the County Committee - Bloomfield 2-11 (DEM) (Vote For 2)","Roy YOKELSON","DEM",74,26.91,0,209,1,1,"0","73"
159,"For Members of the County Committee - Bloomfield 2-12 (DEM) (Vote For 2)","Rodney P. CAUTHEN","DEM",46,30.26,0,136,1,1,"0","64"
160,"For Members of the County Committee - Bloomfield 2-12 (DEM) (Vote For 2)","Alexander MALANAPHY","DEM",42,27.63,0,136,1,1,"0","64"
161,"For Members of the County Committee - Bloomfield 2-12 (DEM) (Vote For 2)","Diane JEAN-MARY","DEM",30,19.74,0,136,1,1,"0","64"
162,"For Members of the County Committee - Bloomfield 2-12 (DEM) (Vote For 2)","John R. ZITKA","DEM",34,22.37,0,136,1,1,"0","64"
163,"For Members of the County Committee - Bloomfield 3-1 (DEM) (Vote For 2)","Kevin LINDAHL","DEM",96,34.04,0,225,1,1,"0","120"
164,"For Members of the County Committee - Bloomfield 3-1 (DEM) (Vote For 2)","Desantila F. GJATA","DEM",82,29.08,0,225,1,1,"0","120"
165,"For Members of the County Committee - Bloomfield 3-1 (DEM) (Vote For 2)","Flora CRUZ","DEM",104,36.88,0,225,1,1,"0","120"
166,"For Members of the County Committee - Bloomfield 3-2 (DEM) (Vote For 2)","Satenik MARGARYAN","DEM",79,34.50,0,169,1,1,"0","65"
167,"For Members of the County Committee - Bloomfield 3-2 (DEM) (Vote For 2)","Maliek MARKS-SMALL","DEM",51,22.27,0,169,1,1,"0","65"
168,"For Members of the County Committee - Bloomfield 3-2 (DEM) (Vote For 2)","Tracy TOLER-PHILLIPS","DEM",61,26.64,0,169,1,1,"0","65"
169,"For Members of the County Committee - Bloomfield 3-2 (DEM) (Vote For 2)","Miriam JACKMAN-PIERRE","DEM",38,16.59,0,169,1,1,"0","65"
170,"For Members of the County Committee - Bloomfield 3-4 (DEM) (Vote For 2)","Monica Charris TABARES","DEM",85,49.13,0,132,1,1,"0","75"
171,"For Members of the County Committee - Bloomfield 3-4 (DEM) (Vote For 2)","Carolyn VADALA","DEM",45,26.01,0,132,1,1,"0","75"
172,"For Members of the County Committee - Bloomfield 3-4 (DEM) (Vote For 2)","Josefina ROSARIO-SIMONE","DEM",43,24.86,0,132,1,1,"0","75"
173,"For Members of the County Committee - Bloomfield 3-5 (DEM) (Vote For 2)","Janelle PARRIS","DEM",64,58.18,0,97,1,1,"0","75"
174,"For Members of the County Committee - Bloomfield 3-5 (DEM) (Vote For 2)","Sarah JOHNSON","DEM",46,41.82,0,97,1,1,"0","75"
175,"For Members of the County Committee - Bloomfield 3-6 (DEM) (Vote For 2)","Pamela ROLLINS","DEM",100,61.73,0,142,1,1,"0","101"
176,"For Members of the County Committee - Bloomfield 3-6 (DEM) (Vote For 2)","Kelly NAZARIAN","DEM",62,38.27,0,142,1,1,"0","101"
177,"For Members of the County Committee - Bloomfield 3-7 (DEM) (Vote For 2)","William WHITT","DEM",61,20.61,0,197,1,1,"2","72"
178,"For Members of the County Committee - Bloomfield 3-7 (DEM) (Vote For 2)","Cynthia GONZALEZ","DEM",67,22.64,0,197,1,1,"2","72"
179,"For Members of the County Committee - Bloomfield 3-7 (DEM) (Vote For 2)","Jennifer GAMBLE","DEM",91,30.74,0,197,1,1,"2","72"
180,"For Members of the County Committee - Bloomfield 3-7 (DEM) (Vote For 2)","Ted GAMBLE","DEM",77,26.01,0,197,1,1,"2","72"
181,"For Members of the County Committee - Bloomfield 3-8 (DEM) (Vote For 2)","Adam CRUZ","DEM",49,41.18,0,98,1,1,"0","58"
182,"For Members of the County Committee - Bloomfield 3-8 (DEM) (Vote For 2)","Douglas GRANT","DEM",15,12.61,0,98,1,1,"0","58"
183,"For Members of the County Committee - Bloomfield 3-8 (DEM) (Vote For 2)","Sarah CRUZ","DEM",40,33.61,0,98,1,1,"0","58"
184,"For Members of the County Committee - Bloomfield 3-8 (DEM) (Vote For 2)","Awilda TORRES-APONTE","DEM",15,12.61,0,98,1,1,"0","58"
185,"For Members of the County Committee - Bloomfield 3-9 (DEM) (Vote For 2)","Ramon JIMENEZ","DEM",15,13.27,0,93,1,1,"0","47"
186,"For Members of the County Committee - Bloomfield 3-9 (DEM) (Vote For 2)","Corey S. ANDERSON","DEM",53,46.90,0,93,1,1,"0","47"
187,"For Members of the County Committee - Bloomfield 3-9 (DEM) (Vote For 2)","Margarita JIMENEZ","DEM",23,20.35,0,93,1,1,"0","47"
188,"For Members of the County Committee - Bloomfield 3-9 (DEM) (Vote For 2)","Peter RODRIGUEZ","DEM",22,19.47,0,93,1,1,"0","47"
189,"For Members of the County Committee - Bloomfield 3-10 (DEM) (Vote For 2)","Maria Luis ESTRELA","DEM",27,32.93,0,57,1,1,"0","20"
190,"For Members of the County Committee - Bloomfield 3-10 (DEM) (Vote For 2)","Bonita WALKER","DEM",19,23.17,0,57,1,1,"0","20"
