Candidate,Township,Ward,District,Party Endorsed?,Position Number,Number of Candidates,Slogan
James HOCHBERG,Livingston,NA,26,TRUE,2,3,
Anna WESLEY,Livingston,NA,26,FALSE,3,3,
Dean DAFIS,Maplewood,NA,7,TRUE,1,3,
Richard GREENBERG,Maplewood,NA,7,TRUE,2,3,
Melissa RENNY,Maplewood,NA,7,FALSE,3,3,
Jessica JAMES,Maplewood,NA,8,FALSE,1,3,
"Fred R. PROFETA, Jr.",Maplewood,NA,8,TRUE,2,3,
Gail SAFIAN,Maplewood,NA,8,TRUE,3,3,
Dean DAFIS,Millburn,NA,7,TRUE,1,3,
Richard GREENBERG,Millburn,NA,7,TRUE,2,3,
Melissa RENNY,Millburn,NA,7,FALSE,3,3,
Jessica JAMES,Millburn,NA,8,FALSE,1,3,
"Fred R. PROFETA, Jr.",Millburn,NA,8,TRUE,2,3,
Gail SAFIAN,Millburn,NA,8,TRUE,3,3,
Debra SALTERS,Newark,EAST,25,FALSE,1,3,
Osvaldo MERCADO,Newark,EAST,25,TRUE,2,3,
Renee D. RUFALO-SILVA,Newark,EAST,25,TRUE,3,3,
Anita L. HICKS,Newark,SOUTH,12,TRUE,1,3,
Shakir Yamaine McDOUGALD,Newark,SOUTH,12,FALSE,2,3,
"Aaron D. VARNADO, Sr.",Newark,SOUTH,12,TRUE,3,3,
Jay C. OKON,Newark,SOUTH,32,TRUE,1,3,
Rhonda R. WILLIAMSON-OKON,Newark,SOUTH,32,TRUE,2,3,
Nadirah A. BROWN,Newark,SOUTH,32,FALSE,3,3,
Robyn L. GILLIARD,Newark,SOUTH,44,TRUE,1,4,
Harvey V. PHILLIPS,Newark,SOUTH,44,TRUE,2,4,
Eric BRYANT,Newark,SOUTH,44,FALSE,3,4,
Aaminah U. ALI,Newark,SOUTH,44,FALSE,4,4,
Alex LORENZO,Newark,WEST,10,FALSE,1,3,West Ward Forward
Marisol RODRIGUEZ,Newark,WEST,10,TRUE,2,3,
Eloina RIVERA,Newark,WEST,10,TRUE,3,3,
Gilda L. CURETON,Newark,WEST,13,FALSE,1,4,Newark West Ward Democratic Committee
Ronald A. JOHNSON,Newark,WEST,13,TRUE,2,4,
Teri R. BENNETT,Newark,WEST,13,TRUE,3,4,
Juan R. SANTIAGO,Newark,WEST,13,FALSE,4,4,Newark West Ward Democratic Committee
Andre Vincent TYLER,Newark,WEST,17,FALSE,1,3,West Ward Forward
Kimberly B. WILLOCKS,Newark,WEST,17,FALSE,2,3,West Ward Forward
Carolyn S. SPURLING,Newark,WEST,17,TRUE,3,3,
Melissa M. LEUTHNER,Newark,WEST,22,TRUE,1,3,
Shakeera M. WHITE,Newark,WEST,22,FALSE,2,3,Newark West Ward Democratic Committee
Rasheeta E. MILTON,Newark,WEST,22,TRUE,3,3,
Robert Kevin WATERS,Newark,WEST,23,FALSE,1,3,Newark West Ward Democratic Committee
Veronica MITCHELL,Newark,WEST,23,TRUE,2,3,
Decanda Michelle FAULK,Newark,WEST,23,TRUE,3,3,
Antonio PADILLA,Newark,WEST,24,FALSE,1,4,Newark West Ward Democratic Committee
Wayne M. PARKS,Newark,WEST,24,FALSE,2,4,Newark West Ward Democratic Committee
Sameen Y. PERRY,Newark,WEST,24,TRUE,3,4,
Trisha A. SCIPIO,Newark,WEST,24,TRUE,4,4,
Levon JOHNSON,Newark,WEST,25,TRUE,1,5,
Ruth SUBER,Newark,WEST,25,FALSE,2,5,Newark West Ward Democratic Committee
Altarik A. CLARK,Newark,WEST,25,FALSE,3,5,Newark West Ward Democratic Committee
Marie F. NAZAIRE,Newark,WEST,25,FALSE,4,5,West Ward Forward
Amina HYLTON,Newark,WEST,25,TRUE,5,5,
Clifford E. BARNETT,Newark,WEST,27,FALSE,1,3,West Ward Forward
Denisah WILLIAMSON,Newark,WEST,27,FALSE,2,3,West Ward Forward
Mayra COQUET,Newark,WEST,27,TRUE,3,3,
Larry J. JONES,Newark,WEST,36,TRUE,1,4,
Lavita E. JOHNSON,Newark,WEST,36,FALSE,2,4,Newark West Ward Democratic Committee
Latisha F. JOHNSON,Newark,WEST,36,TRUE,3,4,
Gerrell ELLIOTT,Newark,WEST,36,FALSE,4,4,Newark West Ward Democratic Committee
Stacy M. FOSTER-RAHEEM,Newark,WEST,38,TRUE,1,4,
Tariq T. RAHEEM,Newark,WEST,38,TRUE,2,4,
Frederick MORRAST,Newark,WEST,38,FALSE,3,4,Newark West Ward Democratic Committee
Mamie BRIDGEFORTH,Newark,WEST,38,FALSE,4,4,Newark West Ward Democratic Committee
Bernard S. ROLLINS,Newark,WEST,40,TRUE,1,4,
Qasim A. RASHID,Newark,WEST,40,FALSE,2,4,Newark West Ward Democratic Committee
Edna M. RASHID,Newark,WEST,40,FALSE,3,4,Newark West Ward Democratic Committee
Evelyn JONES,Newark,WEST,40,TRUE,4,4,
Jordy NIVAR,Newark,WEST,46,FALSE,1,4,West Ward Forward
Gertrudis F. CATANO,Newark,WEST,46,FALSE,2,4,West Ward Forward
Eusebia L. TEJADA,Newark,WEST,46,TRUE,3,4,
Shavorda BASKERVILLE,Newark,WEST,46,TRUE,4,4,
Lyndon F. BROWN,Newark,WEST,47,TRUE,1,4,
Mecal S. JONES,Newark,WEST,47,TRUE,2,4,
Ibn Najee THOMAS,Newark,WEST,47,FALSE,3,4,Newark West Ward Democratic Committee
Shirley M. THOMAS,Newark,WEST,47,FALSE,4,4,Newark West Ward Democratic Committee
Tawana J. JOHNSON-EMORY,Newark,WEST,48,TRUE,1,3,
Rosemary MURRAY,Newark,WEST,48,FALSE,2,3,West Ward Forward
Taheera T. HOPKINS,Newark,WEST,48,TRUE,3,3,
Sanyika MONTAGUE,Newark,WEST,49,TRUE,1,4,
Gail BROWN,Newark,WEST,49,FALSE,2,4,West Ward Forward
Marvin VILLETTE,Newark,WEST,49,FALSE,3,4,West Ward Forward
Sheila A. MONTAGUE,Newark,WEST,49,TRUE,4,4,
Joanne GRAND,Nutley,1,4,TRUE,1,3,
Michael EVANGELISTA,Nutley,1,4,FALSE,2,3,
Anthony TORTORELLO,Nutley,1,4,TRUE,3,3,
Andrea PODGARSKY,Nutley,2,2,FALSE,1,3,
Stephen M. CANONICO,Nutley,2,2,TRUE,2,3,
Janet P. CANONICO,Nutley,2,2,TRUE,3,3,
Fatimah TURNER,Orange,EAST,4,FALSE,1,4,
Adrienne WOOTEN,Orange,EAST,4,FALSE,2,4,
Kerry COLEY,Orange,EAST,4,TRUE,3,4,
Lisa COLEY,Orange,EAST,4,TRUE,4,4,
Patricia ARTHUR,Orange,SOUTH,5,TRUE,1,3,
Kweli CAMPBELL,Orange,SOUTH,5,FALSE,2,3,
Elroy CORBITT,Orange,SOUTH,5,TRUE,3,3,
Stacey MARTIN,Orange,WEST,3,TRUE,1,4,
Quantavia HILBERT,Orange,WEST,3,FALSE,2,4,
Michael Jean BAPTISTE,Orange,WEST,3,FALSE,3,4,
"William HATHAWAY, Jr.",Orange,WEST,3,TRUE,4,4,
"Thomas J. KELLY, Jr.",South Orange,NA,1,TRUE,1,3,
Rebecca MORRISON,South Orange,NA,1,FALSE,2,3,
Philip CASEY,South Orange,NA,1,TRUE,3,3,
Regan WHITE,South Orange,NA,6,TRUE,1,4,
Lawrence HIRSCH,South Orange,NA,6,TRUE,2,4,
Joann GAUGHRAN,South Orange,NA,6,FALSE,3,4,
Deborah ALESSANDRO,South Orange,NA,6,FALSE,4,4,
Carla BUGLIONE,Verona,NA,10,TRUE,1,3,
"John ""Jack"" McEVOY",Verona,NA,10,FALSE,2,3,
Valerie BRAHVER,Verona,NA,10,TRUE,3,3,
